NAME,DIVINE VALUE,CHAOS VALUE,EXPLICIT MODIFIERS
Yoke of Suffering,1.3,208.87,"+(10-24)% to Fire Resistance (), +(10-24)% to Cold Resistance (), +(20-48)% to Lightning Resistance (), 30% reduced Duration of Ailments on Enemies (), (5-10)% chance to Shock (), Enemies take (5-10)% increased Damage for each type of Ailment you have inflicted on them (), Your Elemental Damage can Shock ()"
Zerphi's Heart,1,160.67,"Adds (48-63) to (58-70) Chaos Damage (), Items and Gems have 50% increased Attribute Requirements (), Chaos Damage can Ignite, Chill and Shock (), Gain Soul Eater for 20 seconds when you use a Vaal Skill ()"
Precursor's Emblem,1,160.67,"+20 to Intelligence (), 5% increased maximum Energy Shield (), 5% increased maximum Life (), +1 to Maximum Power Charges (), 20% chance to gain a Power Charge on Critical Strike (), (20-68)% increased Power Charge Duration (), You can apply an additional Curse while at maximum Power Charges (), (5-10)% increased Damage per Power Charge (), (15-30)% chance that if you would gain Power Charges, you instead gain up to
your maximum number of Power Charges (), (10-20)% chance to gain a Power Charge on Kill (), Gain Arcane Surge on Hit with Spells while at maximum Power Charges (), (1-2)% additional Physical Damage Reduction per Power Charge (), +(1-2)% Chance to Block Attack Damage per Power Charge (), +(1-2)% chance to Suppress Spell Damage per Power Charge (), (3-6)% increased Energy Shield per Power Charge (), (1-2)% increased Movement Speed per Power Charge (), (1-2)% increased Attack and Cast Speed per Power Charge (), (1-2) to (18-39) Lightning Damage per Power Charge (), You have Mind over Matter while at maximum Power Charges (), +(3-6)% to Critical Strike Multiplier per Power Charge (), Gain (1-2)% of Lightning Damage as Extra Chaos Damage per Power Charge (), Regenerate (0.3-0.6)% of Life per second per Power Charge ()"
Graven's Secret,1,160.67,"+(61-70) to maximum Energy Shield (), (17-20)% increased maximum Mana (), +(42-60)% to Lightning Resistance (), +1 to Maximum Power Charges (), Modifiers to Minimum Power Charges instead apply to Minimum Absorption Charges (), Maximum Absorption Charges is equal to Maximum Power Charges (), Gain Absorption Charges instead of Power Charges ()"
Ashes of the Stars,1,160.67,"(5-10)% increased Experience Gain of Gems (), +1 to Level of all Skill Gems (), +(20-30)% to Quality of all Skill Gems ()"
Impresence,1,160.67,"Adds (21-24) to (33-36) Fire Damage (), +(55-70) to maximum Life (), +(20-25)% to Fire Resistance (), Regenerate 1% of Life per second (), Enfeeble has no Reservation if Cast as an Aura (), Elemental Weakness has no Reservation if Cast as an Aura (), Punishment has no Reservation if Cast as an Aura (), Flammability has no Reservation if Cast as an Aura (), Temporal Chains has no Reservation if Cast as an Aura (), Gain Maddening Presence for 10 seconds when you Kill a Rare or Unique Enemy ()"
Impresence,1,160.67,"Adds (20-23) to (35-36) Cold Damage (), +(56-68) to maximum Life (), (47-49)% increased Mana Regeneration Rate (), +(20-25)% to Cold Resistance (), Elemental Weakness has no Reservation if Cast as an Aura (), Enfeeble has no Reservation if Cast as an Aura (), Frostbite has no Reservation if Cast as an Aura (), Punishment has no Reservation if Cast as an Aura (), Gain Maddening Presence for 10 seconds when you Kill a Rare or Unique Enemy ()"
Impresence,1,160.67,"Adds (12-16) to (21-25) Physical Damage (), +(471-494) to Armour (), +(51-66) to maximum Life (), (31-39)% increased Stun and Block Recovery (), Elemental Weakness has no Reservation if Cast as an Aura (), Temporal Chains has no Reservation if Cast as an Aura (), Punishment has no Reservation if Cast as an Aura (), Vulnerability has no Reservation if Cast as an Aura (), Gain Maddening Presence for 10 seconds when you Kill a Rare or Unique Enemy ()"
The Tides of Time,1,160.35,"100% increased Life Recovery from Flasks (), 100% increased Mana Recovery from Flasks (), Flasks applied to you have 25% increased Effect (), Life Flasks gain (2-3) Charges every 3 seconds (), Life Flasks gain 1 Charge every 3 seconds (), Mana Flasks gain (2-3) Charges every 3 seconds (), Mana Flasks gain 1 Charge every 3 seconds (), Utility Flasks gain 1 Charge every 3 seconds (), Utility Flasks gain (2-3) Charges every 3 seconds ()"
Replica Badge of the Brotherhood,0.93,150,"Your Maximum Endurance Charges is equal to your Maximum Frenzy Charges (), +1 to maximum Fortification per Endurance Charge (), (7-10)% increased Cooldown Recovery Rate of Travel Skills per Frenzy Charge (), (20-25)% chance to lose a Frenzy Charge when you use a Travel Skill (), (20-25)% chance to lose an Endurance Charge when you gain Fortification ()"
Precursor's Emblem,0.83,134,"+(20-24) to Dexterity (), (8-24)% increased Evasion Rating per Frenzy Charge (), (5-6)% increased maximum Energy Shield (), (5-6)% increased maximum Life (), (1-2)% increased Movement Speed per Frenzy Charge (), 10% chance to gain a Frenzy Charge on Hit (), +1 to Maximum Frenzy Charges (), (10-24)% increased Accuracy Rating per Frenzy Charge (), (6-16) to (12-28) Added Cold Damage per Frenzy Charge (), Regenerate (0.3-0.6)% of Life per second per Frenzy Charge (), (15-30)% chance that if you would gain Frenzy Charges, you instead gain up to your maximum number of Frenzy Charges (), (10-20)% chance to gain a Frenzy Charge on Kill (), (20-75)% increased Frenzy Charge Duration (), (5-10)% increased Damage per Frenzy Charge (), +(1-2)% Chance to Block Attack Damage per Frenzy Charge (), (1-2)% additional Physical Damage Reduction per Frenzy Charge (), (6-12)% increased Critical Strike Chance per Frenzy Charge (), Gain a Flask Charge when you deal a Critical Strike while at maximum Frenzy Charges (), You have Iron Reflexes while at maximum Frenzy Charges (), Gain (1-2)% of Cold Damage as Extra Chaos Damage per Frenzy Charge (), +(1-2)% chance to Suppress Spell Damage per Frenzy Charge (), Gain Onslaught for 4 seconds on Hit while at maximum Frenzy Charges ()"
Choir of the Storm,0.62,100,"Trigger Level 30 Lightning Bolt when you deal a Critical Strike (), (10-20)% increased maximum Mana (), -30% to Lightning Resistance (), Critical Strike Chance is increased by Overcapped Lightning Resistance ()"
Precursor's Emblem,0.62,100,"+(20-24) to all Attributes (), 8% increased Evasion Rating per Frenzy Charge (), 5% increased maximum Energy Shield (), +1 to Maximum Frenzy Charges (), Gain Onslaught for 4 seconds on Hit while at maximum Frenzy Charges (), 5% increased maximum Life (), 1% increased Movement Speed per Frenzy Charge (), Regenerate 0.3% of Life per second per Endurance Charge (), 10% increased Accuracy Rating per Frenzy Charge (), +1 to Maximum Power Charges (), 6% increased Critical Strike Chance per Frenzy Charge (), +1 to Maximum Endurance Charges (), Regenerate 0.3% of Life per second per Frenzy Charge (), (20-40)% increased Power Charge Duration (), +1% Chance to Block Attack Damage per Power Charge (), Gain a Flask Charge when you deal a Critical Strike while at maximum Frenzy Charges (), You cannot be Stunned while at maximum Endurance Charges (), (20-39)% increased Endurance Charge Duration (), +4% to Chaos Resistance per Endurance Charge (), +1% Chance to Block Attack Damage per Frenzy Charge (), (20-40)% increased Frenzy Charge Duration (), 20% chance to gain a Power Charge on Critical Strike (), +1% chance to Suppress Spell Damage per Frenzy Charge (), You can apply an additional Curse while at maximum Power Charges (), Gain 1 Endurance Charge every second if you've been Hit Recently (), 6% increased Critical Strike Chance per Endurance Charge (), You have Iron Reflexes while at maximum Frenzy Charges (), +3% to Critical Strike Multiplier per Power Charge (), 15% chance that if you would gain Power Charges, you instead gain up to
your maximum number of Power Charges (), Gain 1% of Cold Damage as Extra Chaos Damage per Frenzy Charge (), Intimidate Enemies for 4 seconds on Hit with Attacks while at maximum Endurance Charges (), +1% Chance to Block Attack Damage per Endurance Charge (), You have Vaal Pact while at maximum Endurance Charges (), Gain 1% of Lightning Damage as Extra Chaos Damage per Power Charge (), 1% increased Attack and Cast Speed per Power Charge (), 15% chance that if you would gain Frenzy Charges, you instead gain up to your maximum number of Frenzy Charges (), 10% chance to gain a Power Charge on Kill (), (6-8) to (12-13) Added Cold Damage per Frenzy Charge (), +1% chance to Suppress Spell Damage per Power Charge (), 5% increased Damage per Power Charge (), (7-9) to (13-14) Fire Damage per Endurance Charge (), 1% additional Physical Damage Reduction per Frenzy Charge (), (1-2) to (18-20) Lightning Damage per Power Charge (), 6% increased Armour per Endurance Charge (), 5% increased Damage per Frenzy Charge (), 10% chance to gain a Frenzy Charge on Kill (), 1% increased Movement Speed per Power Charge (), 10% chance to gain an Endurance Charge on Kill (), 15% chance that if you would gain Endurance Charges, you instead gain up to maximum Endurance Charges (), Gain 1% of Fire Damage as Extra Chaos Damage per Endurance Charge (), 1% additional Physical Damage Reduction per Power Charge (), 1% increased Attack and Cast Speed per Endurance Charge (), You have Mind over Matter while at maximum Power Charges (), 5% increased Damage per Endurance Charge (), Regenerate 0.3% of Life per second per Power Charge (), 1% increased Movement Speed per Endurance Charge (), +1% chance to Suppress Spell Damage per Endurance Charge (), Gain Arcane Surge on Hit with Spells while at maximum Power Charges (), 3% increased Energy Shield per Power Charge ()"
Precursor's Emblem,0.62,100,"+(20-24) to Strength and Dexterity (), +20 to Strength and Intelligence (), +20 to Dexterity and Intelligence (), (8-16)% increased Evasion Rating per Frenzy Charge (), 5% increased maximum Energy Shield (), +1 to Maximum Power Charges (), 20% chance to gain a Power Charge on Critical Strike (), 5% increased maximum Life (), Regenerate 0.3% of Life per second per Endurance Charge (), (10-20)% chance to gain a Frenzy Charge on Kill (), (10-24)% increased Accuracy Rating per Frenzy Charge (), (1-2)% increased Movement Speed per Frenzy Charge (), +1 to Maximum Endurance Charges (), (20-61)% increased Power Charge Duration (), +3% to Critical Strike Multiplier per Power Charge (), 10% chance to gain a Frenzy Charge on Hit (), +1 to Maximum Frenzy Charges (), Gain (1-2)% of Lightning Damage as Extra Chaos Damage per Power Charge (), (20-40)% increased Frenzy Charge Duration (), (7-10) to (13-15) Fire Damage per Endurance Charge (), (10-20)% chance to gain a Power Charge on Kill (), 6% increased Critical Strike Chance per Endurance Charge (), Regenerate 0.3% of Life per second per Power Charge (), 1% additional Physical Damage Reduction per Frenzy Charge (), +1% chance to Suppress Spell Damage per Endurance Charge (), +1% chance to Suppress Spell Damage per Power Charge (), Gain a Flask Charge when you deal a Critical Strike while at maximum Frenzy Charges (), Intimidate Enemies for 4 seconds on Hit with Attacks while at maximum Endurance Charges (), You can apply an additional Curse while at maximum Power Charges (), You cannot be Stunned while at maximum Endurance Charges (), (5-10)% increased Damage per Frenzy Charge (), 5% increased Damage per Endurance Charge (), Gain Onslaught for 4 seconds on Hit while at maximum Frenzy Charges (), (15-30)% chance that if you would gain Frenzy Charges, you instead gain up to your maximum number of Frenzy Charges (), (21-77)% increased Endurance Charge Duration (), (6-9) to (12-15) Added Cold Damage per Frenzy Charge (), (1-2) to (18-20) Lightning Damage per Power Charge (), +4% to Chaos Resistance per Endurance Charge (), Gain 1 Endurance Charge every second if you've been Hit Recently (), (15-30)% chance that if you would gain Endurance Charges, you instead gain up to maximum Endurance Charges (), You have Mind over Matter while at maximum Power Charges (), +(1-2)% Chance to Block Attack Damage per Endurance Charge (), 3% increased Energy Shield per Power Charge (), +1% Chance to Block Attack Damage per Frenzy Charge (), Regenerate 0.3% of Life per second per Frenzy Charge (), 5% increased Damage per Power Charge (), 6% increased Critical Strike Chance per Frenzy Charge (), Gain 1% of Fire Damage as Extra Chaos Damage per Endurance Charge (), (1-2)% increased Movement Speed per Power Charge (), +1% chance to Suppress Spell Damage per Frenzy Charge (), (1-2)% increased Attack and Cast Speed per Endurance Charge (), You have Vaal Pact while at maximum Endurance Charges (), (1-2)% increased Movement Speed per Endurance Charge (), (6-12)% increased Armour per Endurance Charge (), Gain Arcane Surge on Hit with Spells while at maximum Power Charges (), +1% Chance to Block Attack Damage per Power Charge (), 15% chance that if you would gain Power Charges, you instead gain up to
your maximum number of Power Charges (), 1% additional Physical Damage Reduction per Power Charge (), 10% chance to gain an Endurance Charge on Kill (), Gain (1-2)% of Cold Damage as Extra Chaos Damage per Frenzy Charge (), (1-2)% increased Attack and Cast Speed per Power Charge ()"
Ashes of the Stars,0.62,100,"(5-10)% increased Experience Gain of Gems (), +1 to Level of all Skill Gems (), +(20-30)% to Quality of all Skill Gems ()"
The Pandemonius,0.56,90,"(20-36)% increased Cold Damage (), +(35-40)% to Cold Resistance (), Chill Enemy for 1 second when Hit, reducing their Action Speed by 30% (), Blind Chilled Enemies on Hit (), Damage Penetrates (20-24)% Cold Resistance against Chilled Enemies ()"
Curio of Potential,0.55,88.5,
Coward's Legacy,0.5,80,"+(15-24) to all Attributes (), (5-12)% increased Movement Speed (), 50% increased Effect of Curses on you (), You count as on Low Life while you are Cursed with Vulnerability (), You are Cursed with Vulnerability ()"
Uzaza's Mountain,0.5,80,"+20 to Dexterity (), 5% increased maximum Energy Shield (), 5% increased maximum Life ()"
Xoph's Blood,0.49,79,"(10-12)% increased Strength (), 10% increased maximum Life (), +(20-40)% to Fire Resistance (), Damage Penetrates 10% Fire Resistance (), Cover Enemies in Ash when they Hit you (), Avatar of Fire ()"
The Burden of Truth,0.45,73,"(30-37)% increased Life Recovery from Flasks (), 33% of Chaos Damage taken does not bypass Energy Shield (), 33% of Non-Chaos Damage taken bypasses Energy Shield (), Gain (5-10)% of Maximum Life as Extra Maximum Energy Shield (), Supreme Decadence ()"
Replica Bated Breath,0.44,70,"-(25-15) to Intelligence (), 10% increased Damage (), 50% increased Fishing Pool Consumption (), 20% increased Fishing Range (), (20-30)% increased Rarity of Fish Caught ()"
Precursor's Emblem,0.37,60,"+20 to Strength (), 5% increased maximum Energy Shield (), (5-6)% increased maximum Life (), Regenerate (0.3-0.6)% of Life per second per Endurance Charge (), (20-108)% increased Endurance Charge Duration (), +1 to Maximum Endurance Charges (), (15-30)% chance that if you would gain Endurance Charges, you instead gain up to maximum Endurance Charges (), You have Vaal Pact while at maximum Endurance Charges (), Gain 1 Endurance Charge every second if you've been Hit Recently (), (10-20)% chance to gain an Endurance Charge on Kill (), (7-25) to (13-40) Fire Damage per Endurance Charge (), +(1-2)% chance to Suppress Spell Damage per Endurance Charge (), (1-2)% increased Attack and Cast Speed per Endurance Charge (), +4% to Chaos Resistance per Endurance Charge (), (6-12)% increased Armour per Endurance Charge (), Gain (1-2)% of Fire Damage as Extra Chaos Damage per Endurance Charge (), (5-10)% increased Damage per Endurance Charge (), (6-12)% increased Critical Strike Chance per Endurance Charge (), You cannot be Stunned while at maximum Endurance Charges (), +(1-2)% Chance to Block Attack Damage per Endurance Charge (), (1-2)% increased Movement Speed per Endurance Charge (), Intimidate Enemies for 4 seconds on Hit with Attacks while at maximum Endurance Charges ()"
Eternal Damnation,0.37,59.5,"+(40-70) to maximum Mana (), +(-13-13)% to Chaos Resistance (), -5% to all maximum Resistances (), Gain additional Elemental Damage Reduction equal to half your Chaos Resistance (), Maximum Endurance, Frenzy and Power Charges is 0 ()"
Ryslatha's Coil,0.31,50,"+(20-40) to Strength (), (30-48)% more Maximum Physical Attack Damage (), (30-48)% less Minimum Physical Attack Damage (), Adds 1 to (15-24) Physical Damage to Attacks (), +(80-100) to maximum Life (), Gain 50 Life when you Stun an Enemy ()"
Badge of the Brotherhood,0.31,50,"Your Maximum Frenzy Charges is equal to your Maximum Power Charges (), (7-10)% increased Cooldown Recovery Rate of Travel Skills per Frenzy Charge (), (7-10)% increased Effect of Elusive on you per Power Charge (), (20-25)% chance to lose a Frenzy Charge when you use a Travel Skill (), (20-25)% chance to lose a Power Charge when you gain Elusive ()"
Arn's Anguish,0.31,50,"+(600-700) to Armour (), (12-15)% increased maximum Life (), +(40-60)% to Fire Resistance (), +1 to Maximum Endurance Charges (), Modifiers to Minimum Endurance Charges instead apply to Minimum Brutal Charges (), Maximum Brutal Charges is equal to Maximum Endurance Charges (), Gain Brutal Charges instead of Endurance Charges ()"
Circle of Ambition,0.31,50,"+(10-20) to all Attributes (), +(10-21)% to all Elemental Resistances (), Agony Crawler deals (71-100)% increased Damage (), (40-60)% increased Chaos Damage while affected by Herald of Agony (), +(31-43)% to Chaos Resistance while affected by Herald of Agony (), (40-70)% increased Cold Damage while affected by Herald of Ice (), (40-67)% increased Fire Damage while affected by Herald of Ash (), Herald of Thunder has (40-60)% increased Buff Effect (), +(50-60)% to Cold Resistance while affected by Herald of Ice (), Herald of Ash has (40-60)% increased Buff Effect (), Herald of Agony has (40-60)% increased Buff Effect (), Herald of Thunder has (30-40)% increased Mana Reservation Efficiency (), Herald of Purity has (40-60)% increased Buff Effect (), Herald of Purity has (30-40)% increased Mana Reservation Efficiency (), Herald of Ice has (40-60)% increased Buff Effect (), Herald of Ice has (30-40)% increased Mana Reservation Efficiency (), Herald of Agony has (30-40)% increased Mana Reservation Efficiency (), +(50-60)% to Fire Resistance while affected by Herald of Ash (), Herald of Ash has (30-45)% increased Mana Reservation Efficiency (), 10% increased Mana Reservation Efficiency of Herald Skills (), (40-60)% increased Lightning Damage while affected by Herald of Thunder (), Sentinels of Purity deal (70-100)% increased Damage (), +1% to maximum Fire Resistance while affected by Herald of Ash (), 4% additional Physical Damage Reduction while affected by Herald of Purity (), +1% to maximum Lightning Resistance while affected by Herald of Thunder (), +(50-60)% to Lightning Resistance while affected by Herald of Thunder (), (40-60)% increased Physical Damage while affected by Herald of Purity (), +1% to maximum Cold Resistance while affected by Herald of Ice ()"
Mark of the Shaper,0.29,46.5,"20% chance to Trigger Level 20 Summon Volatile Anomaly on Kill (), Adds (13-18) to (50-56) Lightning Damage to Spells (), (6-10)% increased maximum Energy Shield (), (6-10)% increased maximum Life (), (60-80)% increased Spell Damage if your other Ring is an Elder Item (), Cannot be Stunned by Spells if your other Ring is a Shaper Item ()"
Putembo's Meadow,0.28,45,"+20 to Intelligence (), 5% increased maximum Energy Shield (), 5% increased maximum Life ()"
Olesya's Delight,0.25,40.13,"+(603-698) to Evasion Rating (), +(44-60)% to Cold Resistance (), (8-12)% increased Movement Speed (), +1 to Maximum Frenzy Charges (), Modifiers to Minimum Frenzy Charges instead apply to Minimum Affliction Charges (), Maximum Affliction Charges is equal to Maximum Frenzy Charges (), Gain Affliction Charges instead of Frenzy Charges ()"
Atziri's Foible,0.25,40,"+(100-120) to maximum Mana (), (16-28)% increased maximum Mana (), (80-120)% increased Mana Regeneration Rate (), Items and Gems have 25% reduced Attribute Requirements ()"
Ahkeli's Meadow,0.25,40,"+20 to Strength (), 5% increased maximum Energy Shield (), 5% increased maximum Life ()"
Anathema,0.22,35,"+(30-48) to Intelligence (), (10-18)% increased Cast Speed (), (10-20)% chance to gain a Power Charge when you Cast a Curse Spell (), Your Curse Limit is equal to your maximum Power Charges ()"
The Tides of Time,0.19,30,"(100-120)% increased Life Recovery from Flasks (), (100-120)% increased Mana Recovery from Flasks (), Flasks applied to you have 25% increased Effect (), Life Flasks gain 1 Charge every 3 seconds (), Life Flasks gain (2-3) Charges every 3 seconds (), Mana Flasks gain (2-3) Charges every 3 seconds (), Mana Flasks gain 1 Charge every 3 seconds (), Utility Flasks gain 1 Charge every 3 seconds (), Utility Flasks gain (2-3) Charges every 3 seconds ()"
Solstice Vigil,0.18,29.5,"(31-38)% increased Damage (), +(52-70) to maximum Life (), Regenerate (8.1-9.8) Mana per second (), Gain Shaper's Presence for 10 seconds when you kill a Rare or Unique Enemy (), Temporal Chains has no Reservation if Cast as an Aura ()"
Aul's Uprising,0.16,25,"+(20-30) to Strength (), +(20-30) to Dexterity (), +(20-31) to Intelligence (), Grants Level 15 Envy Skill (), (15-20)% increased Armour (), (15-20)% increased Evasion Rating (), (15-20)% increased maximum Energy Shield (), +(15-20) to all Attributes (), +(50-70) to maximum Life (), Nearby Enemies have 10% reduced Stun and Block Recovery (), Nearby Enemies grant 25% increased Flask Charges (), Hits against Nearby Enemies have 50% increased Critical Strike Chance (), (15-20)% increased Global Defences (), Pride has no Reservation (), Grace has no Reservation (), Purity of Ice has no Reservation (), Haste has no Reservation (), Purity of Lightning has no Reservation (), Vitality has no Reservation (), Clarity has no Reservation (), Zealotry has no Reservation (), Envy has no Reservation (), Malevolence has no Reservation (), Anger has no Reservation (), Wrath has no Reservation (), Purity of Elements has no Reservation (), Discipline has no Reservation (), Determination has no Reservation (), Hatred has no Reservation (), Purity of Fire has no Reservation ()"
Call of the Void,0.13,21,"+(20-30)% to Cold Resistance (), All Damage with Hits can Chill (), All Damage Taken from Hits can Chill you (), Enemies Chilled by your Hits can be Shattered as though Frozen (), Enemies Chilled by your Hits lessen their Damage dealt by half of Chill Effect ()"
Astramentis,0.12,20,"+(80-120) to all Attributes (), -4 Physical Damage taken from Attack Hits ()"
The Taming,0.12,20,"+(20-36)% to all Elemental Resistances (), 10% chance to Freeze, Shock and Ignite (), (30-48)% increased Elemental Damage with Hits and Ailments for
each type of Elemental Ailment on Enemy ()"
The Flow Untethered,0.12,20,"Grants Summon Harbinger of Time Skill (), (10-15)% increased Energy Shield Recovery rate (), (10-15)% increased Life Recovery rate (), (10-15)% increased Attack and Cast Speed (), (15-20)% increased Cooldown Recovery Rate (), Debuffs on you expire (15-20)% faster ()"
Ahkeli's Valley,0.12,20,"+20 to Strength (), 5% increased maximum Energy Shield (), 5% increased maximum Life ()"
Polaric Devastation,0.12,20,"(15-25)% increased Global Critical Strike Chance (), +(20-45)% to Fire Resistance (), +(20-40)% to Cold Resistance (), (10-20)% increased Duration of Ailments on Enemies (), Left Ring slot: Cover Enemies in Ash for 5 seconds when you Ignite them (), Right Ring slot: Cover Enemies in Frost for 5 seconds when you Freeze them ()"
Call of the Void,0.12,20,"+(20-30)% to Cold Resistance (), All Damage with Hits can Chill (), All Damage Taken from Hits can Chill you (), Enemies Chilled by your Hits can be Shattered as though Frozen (), Enemies Chilled by your Hits lessen their Damage dealt by half of Chill Effect ()"
The Hateful Accuser,0.12,20,"Grants level 20 Penance Mark (), (6-12)% increased Cast Speed (), +(30-66) to maximum Life (), +(7-22)% to Chaos Resistance ()"
The Halcyon,0.12,19,"+(35-40)% to Cold Resistance (), 30% increased Freeze Duration on Enemies (), 10% chance to Freeze (), Freezes you inflict spread to other Enemies within 1.5 metres (), 60% increased Damage if you've Frozen an Enemy Recently ()"
Mark of the Elder,0.11,17.8,"20% chance to Trigger Level 20 Tentacle Whip on Kill (), Adds (26-32) to (42-55) Cold Damage to Attacks (), (6-10)% increased maximum Energy Shield (), (6-10)% increased maximum Life (), (60-94)% increased Attack Damage if your other Ring is a Shaper Item (), Cannot be Stunned by Attacks if your other Ring is an Elder Item ()"
Eyes of the Greatwolf,0.09,15,Implicit Modifier magnitudes are doubled ()
Putembo's Valley,0.09,15,"+20 to Intelligence (), 5% increased maximum Energy Shield (), 5% increased maximum Life ()"
Graven's Secret,0.09,15,"+(60-72) to maximum Energy Shield (), (16-20)% increased maximum Mana (), +(40-60)% to Lightning Resistance (), +1 to Maximum Power Charges (), Modifiers to Minimum Power Charges instead apply to Minimum Absorption Charges (), Maximum Absorption Charges is equal to Maximum Power Charges (), Gain Absorption Charges instead of Power Charges ()"
The Magnate,0.07,12,"+(40-60) to Strength (), +(20-25)% to all Elemental Resistances (), 50% increased Flask Charges gained (), 10% chance to deal Double Damage while you have at least 200 Strength (), 5% chance to deal Triple Damage while you have at least 400 Strength ()"
Uzaza's Meadow,0.07,12,"+20 to Dexterity (), 5% increased maximum Energy Shield (), 5% increased maximum Life ()"
Replica Hinekora's Sight,0.07,11.5,"+(600-1172) to Accuracy Rating (), +(602-1000) to Armour (), +1% to all maximum Elemental Resistances (), You cannot be Maimed ()"
Berek's Respite,0.06,10,"Adds (20-25) to (30-50) Fire Damage to Spells and Attacks (), (25-30)% increased Lightning Damage (), +(30-40) to maximum Mana (), When you Kill a Shocked Enemy, inflict an equivalent Shock on each nearby Enemy (), When you Kill an Ignited Enemy, inflict an equivalent Ignite on each nearby Enemy ()"
Perandus Signet,0.06,10,"+(25-30) to maximum Mana (), (45-65)% increased Mana Regeneration Rate (), 2% increased Experience gain (), 2% increased Intelligence for each Unique Item Equipped (), 3% chance for Slain monsters to drop an additional Scroll of Wisdom ()"
Shavronne's Revelation,0.06,10,"+(60-81) to Intelligence (), Right ring slot: You cannot Regenerate Mana (), Right ring slot: Regenerate (6-7.2)% of Energy Shield per second (), Right ring slot: +250 to maximum Mana (), Left ring slot: You cannot Recharge or Regenerate Energy Shield (), Left ring slot: Regenerate 40 Mana per Second (), Left ring slot: +(250-300) to maximum Energy Shield ()"
